(1, 3, 8, 9) A=28 B=30 | (2, 6, 11) A=29 B=27 | (4, 7) A=29 B=33 | (5, 10) A=34 B=30 
(1, 3, 8) A=27 B=29 | (2, 6, 9, 11) A=30 B=28 | (4, 7) A=29 B=33 | (5, 10) A=34 B=30 
(1, 3, 8) A=27 B=29 | (2, 6, 11) A=29 B=27 | (4, 7, 9) A=30 B=34 | (5, 10) A=34 B=30 
(1, 3, 8) A=27 B=29 | (2, 6, 11) A=29 B=27 | (4, 7) A=29 B=33 | (5, 9, 10) A=35 B=31 
(1, 3, 8) A=27 B=29 | (2, 6, 11) A=29 B=27 | (4, 10) A=36 B=36 | (5, 7, 9) A=28 B=28 
(1, 4, 6, 9) A=32 B=32 | (2, 3, 5) A=29 B=27 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 4, 6) A=31 B=31 | (2, 3, 5, 9) A=30 B=28 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 4, 6) A=31 B=31 | (2, 3, 5) A=29 B=27 | (7, 8, 9) A=31 B=34 | (10, 11) A=29 B=28 
(1, 4, 6) A=31 B=31 | (2, 3, 5) A=29 B=27 | (7, 8) A=30 B=33 | (9, 10, 11) A=30 B=29 
(1, 4, 6) A=31 B=31 | (2, 3, 8) A=32 B=33 | (5, 7, 9) A=28 B=28 | (10, 11) A=29 B=28 
(1, 5, 6, 9) A=30 B=26 | (2, 3, 4) A=31 B=33 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 6, 8) A=32 B=31 | (2, 3, 4) A=31 B=33 | (5, 7, 9) A=28 B=28 | (10, 11) A=29 B=28 
(1, 7, 9) A=29 B=30 | (2, 3, 4) A=31 B=33 | (5, 6, 8) A=31 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 4, 9) A=32 B=34 | (5, 6, 8) A=31 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 4) A=31 B=33 | (5, 6, 8, 9) A=32 B=30 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 4) A=31 B=33 | (5, 6, 8) A=31 B=29 | (9, 10, 11) A=30 B=29 
(1, 5, 6, 9) A=30 B=26 | (2, 3, 8) A=32 B=33 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 6, 8, 9) A=33 B=32 | (2, 3, 5) A=29 B=27 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 6, 8) A=32 B=31 | (2, 3, 5, 9) A=30 B=28 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 6, 8) A=32 B=31 | (2, 3, 5) A=29 B=27 | (4, 7, 9) A=30 B=34 | (10, 11) A=29 B=28 
(1, 6, 8) A=32 B=31 | (2, 3, 5) A=29 B=27 | (4, 7) A=29 B=33 | (9, 10, 11) A=30 B=29 
(1, 7, 9) A=29 B=30 | (2, 3, 5) A=29 B=27 | (4, 6, 8) A=33 B=35 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 5, 9) A=30 B=28 | (4, 6, 8) A=33 B=35 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 5) A=29 B=27 | (4, 6, 8, 9) A=34 B=36 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 5) A=29 B=27 | (4, 6, 8) A=33 B=35 | (9, 10, 11) A=30 B=29 
(1, 7, 9) A=29 B=30 | (2, 3, 8) A=32 B=33 | (4, 5, 6) A=30 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 8, 9) A=33 B=34 | (4, 5, 6) A=30 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 8) A=32 B=33 | (4, 5, 6, 9) A=31 B=30 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 3, 8) A=32 B=33 | (4, 5, 6) A=30 B=29 | (9, 10, 11) A=30 B=29 
(1, 4, 5, 8) A=30 B=30 | (2, 7) A=33 B=33 | (3, 6, 9) A=28 B=29 | (10, 11) A=29 B=28 
(1, 4, 6) A=31 B=31 | (2, 7) A=33 B=33 | (3, 5, 8, 9) A=27 B=28 | (10, 11) A=29 B=28 
(1, 5, 6, 9) A=30 B=26 | (2, 4, 8) A=29 B=30 | (3, 7) A=32 B=36 | (10, 11) A=29 B=28 
(1, 5, 7) A=34 B=33 | (2, 4, 8) A=29 B=30 | (3, 6, 9) A=28 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 4, 5, 8) A=35 B=34 | (3, 6, 9) A=28 B=29 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 4, 5, 11) A=27 B=26 | (3, 6, 9) A=28 B=29 | (8, 10) A=37 B=36 
(1, 10) A=35 B=32 | (2, 4, 5, 11) A=27 B=26 | (3, 6, 9) A=28 B=29 | (7, 8) A=30 B=33 
(1, 7) A=28 B=29 | (2, 4, 6) A=36 B=35 | (3, 5, 8, 9) A=27 B=28 | (10, 11) A=29 B=28 
(1, 7, 9) A=29 B=30 | (2, 4, 8) A=29 B=30 | (3, 5, 6) A=33 B=32 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 4, 8, 9) A=30 B=31 | (3, 5, 6) A=33 B=32 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 4, 8) A=29 B=30 | (3, 5, 6, 9) A=34 B=33 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 4, 8) A=29 B=30 | (3, 5, 6) A=33 B=32 | (9, 10, 11) A=30 B=29 
(1, 7, 9) A=29 B=30 | (2, 4, 8) A=29 B=30 | (3, 6, 11) A=28 B=30 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 4, 8, 9) A=30 B=31 | (3, 6, 11) A=28 B=30 | (5, 10) A=34 B=30 
(1, 7, 11) A=29 B=31 | (2, 4, 8) A=29 B=30 | (3, 6, 9) A=28 B=29 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 4, 8, 11) A=30 B=32 | (3, 6, 9) A=28 B=29 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 4, 8) A=29 B=30 | (3, 6, 9, 11) A=29 B=31 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 4, 8) A=29 B=30 | (3, 6, 9) A=28 B=29 | (5, 10, 11) A=35 B=32 
(1, 7) A=28 B=29 | (2, 4, 8) A=29 B=30 | (3, 6, 11) A=28 B=30 | (5, 9, 10) A=35 B=31 
(1, 10) A=35 B=32 | (2, 4, 8) A=29 B=30 | (3, 6, 9) A=28 B=29 | (5, 7, 11) A=28 B=29 
(1, 10) A=35 B=32 | (2, 4, 8) A=29 B=30 | (3, 6, 11) A=28 B=30 | (5, 7, 9) A=28 B=28 
(1, 5, 6, 9) A=30 B=26 | (2, 7) A=33 B=33 | (3, 4, 8) A=28 B=33 | (10, 11) A=29 B=28 
(1, 7, 9) A=29 B=30 | (2, 5, 6) A=34 B=29 | (3, 4, 8) A=28 B=33 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 5, 6, 9) A=35 B=30 | (3, 4, 8) A=28 B=33 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 5, 6) A=34 B=29 | (3, 4, 8, 9) A=29 B=34 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 5, 6) A=34 B=29 | (3, 4, 8) A=28 B=33 | (9, 10, 11) A=30 B=29 
(1, 6, 8) A=32 B=31 | (2, 7) A=33 B=33 | (3, 4, 5, 9) A=26 B=28 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 6, 8) A=37 B=35 | (3, 4, 5, 9) A=26 B=28 | (10, 11) A=29 B=28 
(1, 7) A=28 B=29 | (2, 6, 11) A=29 B=27 | (3, 4, 5, 9) A=26 B=28 | (8, 10) A=37 B=36 
(1, 10) A=35 B=32 | (2, 6, 11) A=29 B=27 | (3, 4, 5, 9) A=26 B=28 | (7, 8) A=30 B=33 
(1, 7, 9) A=29 B=30 | (2, 6, 11) A=29 B=27 | (3, 4, 8) A=28 B=33 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 6, 9, 11) A=30 B=28 | (3, 4, 8) A=28 B=33 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 6, 11) A=29 B=27 | (3, 4, 8, 9) A=29 B=34 | (5, 10) A=34 B=30 
(1, 7) A=28 B=29 | (2, 6, 11) A=29 B=27 | (3, 4, 8) A=28 B=33 | (5, 9, 10) A=35 B=31 
(1, 10) A=35 B=32 | (2, 6, 11) A=29 B=27 | (3, 4, 8) A=28 B=33 | (5, 7, 9) A=28 B=28 
(1, 7) A=28 B=29 | (2, 5, 8, 11) A=28 B=26 | (3, 6, 9) A=28 B=29 | (4, 10) A=36 B=36 
(1, 10) A=35 B=32 | (2, 5, 8, 11) A=28 B=26 | (3, 6, 9) A=28 B=29 | (4, 7) A=29 B=33 
(1, 7) A=28 B=29 | (2, 6, 11) A=29 B=27 | (3, 5, 8, 9) A=27 B=28 | (4, 10) A=36 B=36 
(1, 10) A=35 B=32 | (2, 6, 11) A=29 B=27 | (3, 5, 8, 9) A=27 B=28 | (4, 7) A=29 B=33 
instance: 4x11_T30  T=30
unlabeled 4-partitions enumerated: 145750
survivors (all four W-sums >= T): 114
survivors admitting a 2+2 assignment: 0
VERDICT: NO MMS ALLOCATION (given MMS=T for all agents)
